Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League,keys
<a href=https://npb.jp/bis/eng/players/21825157.html>Matsuo Shion</a>,3.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.500,0.500,0.750,1.250,277,0.250,0.667,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('松尾 汐恩', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/21625135.html>Matsumoto Go</a>,6.0,24.0,20.0,2.0,5.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.250,0.292,0.250,0.542,68,0.000,0.263,16.7%,8.3%,8.3%,1.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('松本 剛', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/91695157.html>Hayashi Takuma</a>,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('林 琢真', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/31835133.html>Yanagita Yuki</a>,9.0,40.0,37.0,3.0,9.0,1.0,0.0,1.0,13.0,3.0,0.0,1.0,0.0,0.0,10.0,3.0,0.0,0.0,1.0,0.243,0.300,0.351,0.651,100,0.108,0.308,35.0%,25.0%,7.5%,0.30,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('柳田 悠岐', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/73175151.html>Yanagimachi Tatsuru</a>,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('柳町 達', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/41945132.html>Shibata Tatsuhiro</a>,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('柴田 竜拓', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/01705130.html>Kurihara Ryoya</a>,9.0,37.0,33.0,3.0,6.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,1.0,0.0,10.0,3.0,0.0,0.0,2.0,0.182,0.243,0.273,0.516,59,0.091,0.227,37.8%,27.0%,8.1%,0.30,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('栗原 陵矢', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/51755135.html>Kuwahara Masayuki</a>,14.0,62.0,54.0,8.0,18.0,5.0,1.0,1.0,28.0,10.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,2.0,0.0,0.333,0.387,0.519,0.906,175,0.185,0.347,14.5%,6.5%,6.5%,1.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('桑原 将志', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/21325139.html>Umeno Ryutaro</a>,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.200,0.200,0.200,0.400,26,0.000,0.250,20.0%,20.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('梅野 隆太郎', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/51555155.html>Kajiwara Kouki</a>,14.0,63.0,62.0,8.0,16.0,2.0,0.0,0.0,18.0,4.0,2.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,0.258,0.254,0.290,0.544,68,0.032,0.348,25.4%,25.4%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('梶原 昂希', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/33135151.html>Mori Keito</a>,14.0,55.0,46.0,10.0,14.0,1.0,1.0,0.0,17.0,4.0,2.0,1.0,2.0,0.0,8.0,6.0,1.0,1.0,0.0,0.304,0.382,0.370,0.751,131,0.065,0.368,25.5%,14.5%,10.9%,0.75,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('森 敬斗', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/43145157.html>Morishita Shota</a>,2.0,9.0,8.0,1.0,5.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.625,0.667,1.000,1.667,424,0.375,0.667,33.3%,11.1%,11.1%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('森下 翔太', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/81885155.html>Masaki Tomoya</a>,5.0,17.0,15.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.133,0.176,0.200,0.376,17,0.067,0.143,11.8%,5.9%,5.9%,1.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('正木 智也', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/31835138.html>Mizutani Shun</a>,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-97,0.000,0.000,83.3%,83.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('水谷 瞬', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/63165155.html>Mizuno Tatsuki</a>,6.0,21.0,20.0,2.0,8.0,1.0,1.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.400,0.381,0.550,0.931,181,0.150,0.667,38.1%,38.1%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('水野 達稀', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/91195157.html>Asano Shogo</a>,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('浅野 翔吾', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/81385151.html>Umino Takashi</a>,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('海野 隆司', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/31135130.html>Asama Daiki</a>,5.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.100,0.182,0.100,0.282,-10,0.000,0.333,72.7%,63.6%,9.1%,0.14,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('淺間 大基', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/41545136.html>Kiyomiya Kotaro</a>,6.0,26.0,25.0,1.0,6.0,1.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.240,0.269,0.280,0.549,69,0.040,0.273,15.4%,11.5%,3.8%,0.33,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('清宮 幸太郎', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/61965130.html>Shimizu Yushi</a>,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,1.000,1.000,2.000,508,0.000,1.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('清水 優心', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/81685139.html>Watanabe Ryo</a>,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('渡邉 諒', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/51655134.html>Hamaguchi Haruhiro</a>,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000,1.000,1.000,2.000,513,0.000,1.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('濵口 遥大', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/13115153.html>Maki Shugo</a>,14.0,65.0,56.0,6.0,16.0,2.0,0.0,1.0,21.0,7.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,2.0,1.0,0.286,0.385,0.375,0.760,134,0.089,0.333,27.7%,15.4%,10.8%,0.70,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('牧 秀悟', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/61465133.html>Makihara Taisei</a>,7.0,18.0,15.0,1.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.267,0.333,0.333,0.667,106,0.067,0.267,11.1%,0.0%,11.1%,1.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('牧原 大成', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/51055138.html>Tamiya Yua</a>,4.0,9.0,8.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.125,0.222,0.250,0.472,45,0.125,0.200,44.4%,33.3%,11.1%,0.33,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('田宮 裕涼', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/91595133.html>Kai Takuya</a>,8.0,26.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,13.0,2.0,2.0,0.0,0.0,0.045,0.115,0.045,0.161,-47,0.000,0.100,57.7%,50.0%,7.7%,0.15,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('甲斐 拓也', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/73375157.html>Yazawa Kota</a>,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,105,0.000,0.500,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('矢澤 宏太', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/91095138.html>Chino Naoto</a>,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('知野 直人', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/21125134.html>Ishii Kazunari</a>,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,105,0.000,1.000,66.7%,66.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('石井 一成', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/01105135.html>Ishikawa Shingo</a>,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('石川 慎吾', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/71575136.html>Kamizato Kazuki</a>,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('神里 和毅', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/71175153.html>Akihiro Yuto</a>,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('秋広 優人', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/81985118.html>Tateoka Soichiro</a>,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,0.000,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('立岡 宗一郎', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/91095153.html>Sasagawa Yoshiyasu</a>,3.0,7.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.143,0.143,0.143,0.286,-11,0.000,0.200,28.6%,28.6%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('笹川 吉康', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/41945131.html>Tsutsugoh Yoshitomo</a>,10.0,28.0,26.0,2.0,7.0,2.0,0.0,1.0,12.0,7.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0,0.269,0.286,0.462,0.747,125,0.192,0.333,35.7%,28.6%,3.6%,0.12,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('筒香 嘉智', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/81185134.html>Itohara Kento</a>,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500,0.500,0.500,1.000,219,0.000,0.500,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('糸原 健斗', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/81585153.html>Ogata Riku</a>,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-98,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('緒方 理貢', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/71575131.html>Ogino Takashi</a>,2.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.167,0.250,0.167,0.417,31,0.000,0.167,25.0%,12.5%,12.5%,1.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('荻野 貴司', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/41745137.html>Sugano Tomoyuki</a>,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('菅野 智之', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/31635138.html>Fujiwara Kyota</a>,3.0,10.0,9.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.300,0.333,0.633,94,0.000,0.333,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('藤原 恭大', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/41645136.html>Fujioka Yudai</a>,3.0,12.0,11.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.273,0.250,0.273,0.523,60,0.000,0.333,16.7%,16.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('藤岡 裕大', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/51555151.html>Ebina Tatsuo</a>,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.000,0.200,0.000,0.200,-32,0.000,0.000,60.0%,40.0%,20.0%,0.50,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL,"('蝦名 達夫', 'DeNA BayStars')"
<a href=https://npb.jp/bis/eng/players/41545114.html>Kakunaka Katsuya</a>,2.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.250,0.500,1.000,1.500,346,0.750,0.000,50.0%,0.0%,33.3%,1.00,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL,"('角中 勝也', 'Lotte Marines')"
<a href=https://npb.jp/bis/eng/players/71075138.html>Chikamoto Koji</a>,2.0,9.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.111,0.111,0.111,0.222,-32,0.000,0.167,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('近本 光司', 'Hanshin Tigers')"
<a href=https://npb.jp/bis/eng/players/41745135.html>Kondoh Kensuke</a>,8.0,28.0,24.0,3.0,11.0,4.0,0.0,1.0,18.0,4.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,1.0,0.0,0.458,0.536,0.750,1.286,289,0.292,0.588,35.7%,21.4%,10.7%,0.50,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL,"('近藤 健介', 'SoftBank Hawks')"
<a href=https://npb.jp/bis/eng/players/21925151.html>Gunji Yuya</a>,6.0,18.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.000,0.111,0.000,0.111,-61,0.000,0.000,22.2%,11.1%,11.1%,1.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL,"('郡司 裕也', 'Nipponham Fighters')"
<a href=https://npb.jp/bis/eng/players/91995131.html>Chono Hisayoshi</a>,3.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.143,0.250,0.143,0.393,25,0.000,0.167,25.0%,12.5%,12.5%,1.00,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('長野 久義', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/11515157.html>Kadowaki Makoto</a>,6.0,23.0,17.0,1.0,4.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,0.235,0.391,0.294,0.685,117,0.059,0.267,30.4%,8.7%,21.7%,2.50,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL,"('門脇 誠', 'Yomiuri Giants')"
<a href=https://npb.jp/bis/eng/players/91095136.html>Takahashi Haruto</a>,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL,"('髙橋 遥人', 'Hanshin Tigers')"
